Month,In/Out,Australia,"	Latitude",Longitude ,International,AllFlights
Mar-20,O,Gold Coast,,,Christchurch,  5
Mar-20,O,Gold Coast,,,Christchurch,  10
Mar-20,O,Gold Coast,,,Kuala Lumpur,  10
Mar-20,O,Gold Coast,,,Queenstown,  9
Mar-20,O,Gold Coast,,,Seoul,  1
Mar-20,O,Gold Coast,,,Seoul,  1
Mar-20,O,Gold Coast,,,Seoul,  1
Mar-20,O,Gold Coast,,,Singapore,  9
Mar-20,O,Gold Coast,,,Tokyo,  22
Mar-20,O,Gold Coast,,,Tokyo,  1
Mar-20,O,Gold Coast,,,Wellington,  10
Mar-20,O,Melbourne,,,Abu Dhabi,  42
Mar-20,O,Melbourne,,,Auckland,  80
Mar-20,O,Melbourne,,,Auckland,  20
Mar-20,O,Melbourne,,,Auckland,  91
Mar-20,O,Melbourne,,,Auckland,  40
Mar-20,O,Melbourne,,,Bandar Seri Begawan,  26
Mar-20,O,Melbourne,,,Bangkok,  10
Mar-20,O,Melbourne,,,Bangkok,  48
Mar-20,O,Melbourne,,,Beijing,  4
Mar-20,O,Melbourne,,,Christchurch,  23
Mar-20,O,Melbourne,,,Christchurch,  19
Mar-20,O,Melbourne,,,Christchurch,  25
Mar-20,O,Melbourne,,,Christchurch,  26
Mar-20,O,Melbourne,,,Colombo,  25
Mar-20,O,Melbourne,,,Denpasar,  1
Mar-20,O,Melbourne,,,Denpasar,  21
Mar-20,O,Melbourne,,,Denpasar,  45
Mar-20,O,Melbourne,,,Denpasar,  1
Mar-20,O,Melbourne,,,Denpasar,  17
Mar-20,O,Melbourne,,,Denpasar,  18
Mar-20,O,Melbourne,,,Doha,  35
Mar-20,O,Melbourne,,,Dubai,  47
Mar-20,O,Melbourne,,,Dubai,  23
Mar-20,O,Melbourne,,,Guangzhou,  28
Mar-20,O,Melbourne,,,Ho Chi Minh City,  10
Mar-20,O,Melbourne,,,Ho Chi Minh City,  21
Mar-20,O,Melbourne,,,Hong Kong,  41
Mar-20,O,Melbourne,,,Hong Kong,  15
Mar-20,O,Melbourne,,,Honolulu,  5
Mar-20,O,Melbourne,,,Jakarta,  17
Mar-20,O,Melbourne,,,Kuala Lumpur,  37
Mar-20,O,Melbourne,,,Kuala Lumpur,  46
Mar-20,O,Melbourne,,,Kuala Lumpur,  17
Mar-20,O,Melbourne,,,London,  25
Mar-20,O,Melbourne,,,Los Angeles,  32
Mar-20,O,Melbourne,,,Los Angeles,  14
Mar-20,O,Melbourne,,,Los Angeles,  14
Mar-20,O,Melbourne,,,Manila,  6
Mar-20,O,Melbourne,,,Manila,  14
Mar-20,O,Melbourne,,,Nadi,  15
Mar-20,O,Melbourne,,,Nadi,  6
Mar-20,O,Melbourne,,,New Delhi,  9
Mar-20,O,Melbourne,,,Noumea,  5
Mar-20,O,Melbourne,,,Phuket,  9
Mar-20,O,Melbourne,,,Phuket,  2
Mar-20,O,Melbourne,,,Port Vila,  7
Mar-20,O,Melbourne,,,Queenstown,  13
Mar-20,O,Melbourne,,,Queenstown,  21
Mar-20,O,Melbourne,,,Queenstown,  13
Mar-20,O,Melbourne,,,San Francisco,  12
Mar-20,O,Melbourne,,,San Francisco,  9
Mar-20,O,Melbourne,,,Santiago,  12
Mar-20,O,Melbourne,,,Seoul,  1
Mar-20,O,Melbourne,,,Shanghai,  25
Mar-20,O,Melbourne,,,Singapore,  23
Mar-20,O,Melbourne,,,Singapore,  39
Mar-20,O,Melbourne,,,Singapore,  20
Mar-20,O,Melbourne,,,Singapore,  91
Mar-20,O,Melbourne,,,Singapore,  15
Mar-20,O,Melbourne,,,Taipei,  13
Mar-20,O,Melbourne,,,Tokyo,  20
Mar-20,O,Melbourne,,,Tokyo,  1
Mar-20,O,Melbourne,,,Tokyo,  20
Mar-20,O,Melbourne,,,Vancouver,  15
Mar-20,O,Melbourne,,,Wellington,  15
Mar-20,O,Melbourne,,,Wellington,  25
Mar-20,O,Melbourne,,,Wellington,  14
Mar-20,O,Melbourne,,,Xiamen,  5
Mar-20,O,Norfolk Island,,,Auckland,  3
Mar-20,O,Perth,,,Auckland,  33
Mar-20,O,Perth,,,Bangkok,  23
